,category,name,subs_last30d_count,views_last30d_count
574,News,Breaking News India,0 ,41208900
575,Music,FUNK EXPLODE,247481 ,53341800
576,Education,TiempodeSol,147781 ,57133500
577,Music,Venus Regional,160249 ,52694700
578,Entertainment,TheTalko,105759 ,50855700
579,Music,iKON, 199623 ,53390100
580,Music,Zee Music Bhojpuri,294614 ,61681500
581,Games,Mobile MOBA Việt,115050 ,53817600
582,Music,Black Beats,91220 ,69605700
583,Education,Daftar Populer,373708 ,55410600
584,Music,JuanGabrielVEVO,56489 ,55723800
585,Entertainment,MasterChef Brasil,113096 ,54961500
586,Music,Red Hot Chili Peppers,68122 ,54114300
587,Entertainment,Fizzy Toy Show,57732 ,62643900
588,Entertainment,Mimi Lissa,305830 ,63389100
589,Education,寶寶巴士 - 兒歌童謠 - 卡通動畫 -…,107273 ,46435500
590,People,Lovely Kids Thailand,116231 ,48092700
591,Music,Aya Nakamura,215493 ,55757100
592,People,Hero Movies 2018,166698 ,886500
593,,apple kids,0 ,62668800
594,Music,PrinceRoyceVEVO,-16248 ,61750200
595,,MaKar & Nursery Rhymes Songs,138124 ,17281050
596,People,Rawan and Rayan,239100 ,61285500
597,,JK YADAV FILMS जे के यादव…,0 ,57496800
598,Music,AlfredoOlivasVEVO,-4269 ,49277700
599,,Maha Cartoon Tv,173490 ,51373800
600,Comedy,Официальный канал КВН,63733 ,55951800
601,Film,3Palavrinhas,96618 ,53871600
602,Entertainment,Telefe,107752 ,58434600
603,,Sonotek Official,143011 ,48958500
604,Entertainment,Bublik Kids show,0 ,16926360
605,,Fun With Alicia,1233091 ,289674324
606,,Enzo Rabelo,242426 ,56789100
607,Entertainment,Paulinho e Toquinho,96672 ,48439200
608,Entertainment,Tiana,276634 ,62661600
609,Tech,Motorola US,1440 ,37238606
610,People,Deji,57858 ,43922700
611,Film,PhimTV,0 ,45313200
612,,이상한 세계,0 ,37554900
613,Music,Angle Music Official Channel,130690 ,51351300
614,Film,BaBYBo,229030 ,59827500
615,People,Gibby :),309310 ,59880900
616,Entertainment,Color Man,115977 ,38130900
617,Music,Emiway Bantai,609245 ,52200300
618,Entertainment,Bollywood Bai,81653 ,32596500
619,Entertainment,Favorite Videos,35481 ,56217600
620,People,Katie Angel,244915 ,47726400
621,People,FP do Trem Bala,244349 ,52247100
622,People,Odd Me Not,313919 ,74524800
623,News,86 & Custom Protection NET,154615 ,53533200
624,Entertainment,TellyMasala,150277 ,49620300
625,Music,Ferrugem Oficial,118544 ,54488700
626,,Sunny Live,-234 ,23848350
627,Music,DADJU,188406 ,56008200
628,Film,Great Indian Comedy,187443 , 51044100
629,Film,СИНИЙ ТРАКТОР - Детские…,95094 ,51449400
630,Entertainment,ЛитлБой Адам,171345 ,5963430
631,Comedy,SEPL VIDEO,123182 ,43077600
632,,Mom of Sam, 103461 ,29269230
633,People,اليكي الحل,154717 ,34898100
634,Music,DJKhaledVEVO,-17620 ,51388800
635,News,dmc,171094 ,57607200
636,Entertainment,NESCAFÉ India,127521 ,43079100
637,Film,DC Kids,31995 ,44829900
638,Music,Boyce Avenue,113454 ,48878700
639,Music,CarlosRiveraVEVO,-1749 ,51724500
640,Education,스위트티비 SweetTV,180493 ,60034500
641,Entertainment,Equestria Girls Fans, 0 ,29048970
642,Tech,Technical Guruji,645382 ,53505300
643,Music,Chanda,163791 ,57483000
644,Film,Eğlence Zamanı,190876 ,52500000
645,Film,Bengali Fairy Tales,142367 ,49212600
646,Entertainment,Attessia TV,122170 ,50342100
647,Tech,YASH KE EXPERIMENTS,399924 ,71042700
648,,Vidol TV,73745 ,45492300
649,Film,뽀로로(Pororo),39420 ,49055400
650,Music,Nhac DJ,56202 ,30414300
651,Entertainment,Top Dingen,78407 ,20710020
652,Music,Times Music,316560 ,60157200
653,Entertainment,리원세상RIWORLD,123626 ,47253600
654,Film,Dolly Films,510 ,22913670
655,People,Master David,201401 ,47553600
656,People,ميلاد يوسف Milad youssef,40122 ,52657200
657,Film,Troll Punjabi,464597 ,53750100
658,,МАМА+,195666 ,50166000
659,Entertainment,tlc uk,75242 ,46596300
660,Music,Dj Alfonzin,117715 ,68101500
661,Games,Two Players One Console,74456 ,51089700
662,Film,NH Studioz,131011 ,55628100
663,,हिंदी - Genevieve's Playhouse,156281 ,43292700
664,Film,Alena Kids Toys,90288 ,42670200
665,Games,Lyna,178653 ,50918100
666,Games,Oops Banana,162065 ,44365500
667,,Learn Colors For Kids,284769 ,37533300
668,,Andhika Gemintang,187780 ,26939970
669,Music,whitneyhoustonVEVO,-7308 ,51440100
670,,NoahsNoah,290384 ,39221400
671,People,naarkw نار,121985 ,46733700
672,Entertainment,Mammyたまご,46661 ,40666800
673,Film,Kids TV Baby,161244 ,47827500
674,Entertainment,VexTrex,0 ,41958600
675,,Ganga Bhakti,357319 ,35653500
676,Music,Zee Music Marathi,171705 ,54124200
677,People,Hoje é dia de Marias,297397 ,62992800
678,Entertainment,EL DEMENTE,383255 ,51546000
679,Music,Guitarzsk,112963 ,49228800
680,News,Noticieros Televisa,75061 ,42227700
681,Entertainment,Rajasthani Gorband Music,86315 ,48245400
682,People,Como dice el dicho,197094 ,51402600
683,Music,Phong,-429 ,22223220
684,,Shuya Zhao,3596 ,113842200
685,Music,Unique Vibes,89331 ,39062100
686,Film,WildBrain - Cartoons for Children,125674 ,51315000
687,Entertainment,Borami Kids Toys,99689 ,29010480
688,Entertainment,Toy Kids★トイキッズ,40466 ,46080300
689,Entertainment,AWESMR kids, 74852 ,48330600
690,Entertainment,Logan Paul Vlogs,46883 ,47760900
691,Music,FutureVEVO,-13665 ,51801600
692,People,Tinto Brass Фильм,2529 ,21945690
693,Film,Invento na Hora,255943 ,56016600
694,Entertainment,Moriah Elizabeth,289717 ,54239700
695,Film,Jungle Beat - Munki and Trunk,137987 ,47406900
696,Tech,Primitive Life Style,160880 ,44456100
697,Music,Km Music,84099 ,47950800
698,Music,Gustavo Mioto,115414 ,44003100
699,Entertainment,Eagle Music Video Station,190978 ,45518400
700,,ArcadeG,123689 ,39872100
701,Animals,SMG TUBE,93355  ,29870730
702,Travel,INSIDER,103391 ,43681500
703,Music,SonoraDinamitaVEVO,-1507 ,46347300
704,Entertainment,DisneyChannelUK,12760 ,46880700
705,People,OneDayAlex,144965  ,44302800
706,Film,SinemaGo,63928 ,33509700
707,,Nickelodeon Россия,148011 ,37505400
708,Entertainment,Ubox Animal Vietnam,286834 ,65178600
709,Education,שירים לילדים ופעוטות,66989 ,21748500
710,Entertainment,Shemaroo Bollywood Comedy,154959 ,46170900
711,Howto,Izabeloi,137724 ,47710500
712,Film,hasan 15m,101380 ,32053200
713,People,ExtraPolinesios,334117 ,45057300
714,Entertainment,Rans Entertainment,492316 ,0
715,Games,Belgas TV,496146 ,41485500
716,,Dolly's Stories KIDS,134084 , 39042600
717,Education,Fun Baby Show,135976 ,36843600
718,Music,SuperbLyrics,117624 ,43785600
719,,Ideas en 5 minutos NIÑOS,267317 ,38104200
720,Music,DeStrian,0 ,5034000
721,Entertainment,Vat19,37814 ,44109000
722,Music,SRK MUSIC,177954 ,63641100
723,Film,Baby TV كتاكيت بيبي,167669 ,44238600
724,Entertainment,Programa Pânico,132767 ,51653100
725,Music,Capital FM,67955 ,35665500
726,People,Vosso Canal,285305 ,45808500
727,Entertainment,BakLol Video,202004 ,46874400
728,Film,Cartoon Studio,182111 ,44603400
729,,The Q,167813 ,50614500
730,Autos,TOYOTA GAZOO Racing,1898 ,21194010
731,Music,LP,107226 ,43663200
732,,Thibaan Channel,121555 ,47711700
733,Games,ぺいんとチャンネルゥ,62272 ,48044400
734,Film,Bananakids by Totoykids,83252 ,35932500
735,People,Arif muhammad,492885 ,45539700
736,Entertainment,Santa Songs,0 ,41009700
737,Entertainment,Azteca Novelas,91168 ,41617500
738,,NCT Vlogs,117980 ,38693700 
739,,UP Tak,234326 ,42946800
740,People,Jana Tube,131861 ,39423600
741,Film,Мульт,61207 ,41988000
742,Games,FaZe Rug,271559 ,45074400
743,Games,TazerCraft,167395 ,41627400
744,Music,IMPERIA,31388 ,74962200
745,,BabieToys CAF Network,225726 ,53970900
746,Music,New Michael Jackson,137428 ,42582900
747,Entertainment,Las 2 Muñecas,152877 ,44043600
748,,Hakai,141954 ,75652200
749,Music,NachoVEVO,-17943 ,40516800
750,,VieShows,91617 ,44951400
751,,BINBIN,0 ,36262800
752,Entertainment,welovekamikaze,121073 ,40413600
753,Music,T-Series Telugu,94780 ,42007200
754,,TWO SUPER SISTERS,128208 ,51679200
755,Music,MauyRickyVEVO,-3040 ,43325400
756,Entertainment,Eagle Home Entertainments,219158 ,59406000
757,,SPN9NEWS सामाजिक आईना,163065 ,34070700
758,,SheckWesVEVO,611 ,45159600
759,Music,Mightyraccoon!,89217 ,26726220
760,Entertainment,БАРДАК ТУТ,-4264 ,-48742800
761,Entertainment,The World Adventures हिन्दी,309026 ,42698100
762,,Tayo Bahasa Indonesia,161974 ,36935658
763,Music,twenty one pilots,159724 ,47545800
764,Entertainment,Sihirli Annem Bir'iz,51317 ,31571100
765,Entertainment,Enterr10 Music Bhojpuri,160801 ,51967200
766,Education,Bamboo Art,3044 ,464160
767,Film,iVideos,71402 ,38687700
768,Howto,BRICO SYMPA,205236 ,38875500
769,Music,FatherVEVO,598 ,20606490
770,Entertainment,TikTak Draw,303215 ,45858300
771,Education,Super Kids TV,104880 ,44738400
772,Entertainment,GEN HALILINTAR,287208 ,44533200
773,Music,Banglar Rs Music,104760 ,46137600
774,Entertainment,Matheus Yurley,622485 ,35474400
775,Film,Fancy Frog,126789 ,42344700
776,,Chand Ali,0 ,-23236020
777,Entertainment,America's Got Talent,149988 ,45077700
778,Film,Monde des Titounis,76512 ,44019300
779,People,Las Aventuras de Dani y Evan,104175 ,48852900
780,Education,Candy Play TV,85764 ,45318300
781,Film,Tayo the Little Bus,60183 ,43288500
782,Film,BestOfTontoDikeh,107324 ,41106600
783,,The Silent Love,151925 ,47076600
784,Entertainment,Chiquititas SBT,76813 ,45559800
785,Entertainment,팬케이Pan K The Pancake Artist,173440 ,25396350 
786,Film,Wow Kidz Action,142722 ,41663100
787,Entertainment,truTV,47690 ,43254900
788,Music,KARAOKE TIẾN TÀI,0 ,41758200
789,Film,Kara Sevda,73165 ,44680200
790,People,NESCAFÉ Dolce Gusto Thailand,10616 ,23435700
791,News,Канал Украина,66880 ,42906600
792,Entertainment,꼬꼬스토이 CoCosToy,75564 ,35957400
793,,Hmoob Xov Tshoj,87277 ,27549870
794,Music,BritneySpearsVEVO,-13779 ,43271400
795,,Awadhesh Premi Official,151447 ,1449252
796,Music,КАZКА,107635 ,46142700
797,People,Dobre Brothers,173664 ,41639400
798,Entertainment,Lama Faché,164943 ,42169800
799,Music,Sanjivani Bhojpuri,136225 ,40531500
800,Games,Denis,135232 ,35421900
801,Comedy,Un gars une fille | Officiel,12338 ,25193520
802,Entertainment,Nestle Thailand,6472 ,62847600
803,,Phương Phương channel,0 ,37356000
804,Film,Disney UK,56942 ,39786900
805,Comedy,Team Edge,98601 ,50933400
806,,Phim Siêu Nhân Nhật Bản,63844 ,42947700
807,Music,Bryant Myers,189986 ,48788400
808,Music,Illslick thelegandary,55726 ,45490800
809,Entertainment,Bollywood Babes,64813 ,48430200
810,Entertainment,Nicki Swift,46920 ,40386000
811,Education,YtCrash,308057 ,54586200
812,Entertainment,The Inner Studio,171592 ,39142200
813,Entertainment,★ Kids Roma Show,141796 ,40793100
814,Film,Фильмы и Сериалы Студии…,49792 ,41970600
815,People,Fizzy Fun Toys,62737 ,47731500
816,Games,Red Arcade,104962 ,37077900
817,Film,emmachamberlain,0 ,0
818,Sports,Cracks,65447 ,42596400
819,Music,Everest Marathi,106585 ,30004500
820,,RubyandBonnie,94957 ,28996800
821,Music,Elmircom,11085 ,-2146650
822,,1 Million Creation,298936 ,48420900
823,People,MLP Pony HD,0 ,36504600
824,Film,La Brujita Tatty - dibujos animados,158170 ,44793300
825,,8D TUNES,719083 ,48525600
826,,ladyTV Online,8487 ,-61590300
827,Travel,Scn sujla,122047 ,26833380
828,Music,MelendiOficialVEVO,-3058 ,39840300
829,People,沈采蓉,231621 ,52971600
830,Film,České animované detské pohádky pro děti…,230607 ,63535200
831,People,Touhid,0 ,-4717110
832,Education,BabyBus - 子供の歌 - 子どもの動画,53106 ,38266500
833,Entertainment,TVBUSAofficial,38930 ,42387900
834,Animals,Dusama Rhymes TV,0 ,22006980
835,Music,Fresh Media Records,173206 ,44402400
836,Music,TPM - Top Persian Music,155 ,13923510
837,Games,KingCodShots,-827 ,19399256
838,Music,Ram Audio,99606 ,37560600
839,People,عصابة بدر Badr_Family,161922 ,38396400
840,Comedy,TGFbro,125521 ,32021400
841,Education,The King of Random, 170116 ,54633900
842,Film,Larva TUBA,134917 ,45249300
843,,科幻梦工场,27445 ,27657090
844,Film,Toy Caboodle,111560 ,35304900
845,,Maha Cartoon TV XD,196592 ,50949600
846,Games,DeGoBooM,154253 ,44314200
847,People,Interatividade De Pessoas,32701 ,21541980
848,Education,Toy Jelly,152269 ,39825300
849,Games,PORKMODZ,114305 ,49651200
850,Entertainment,Ching's Secret,70220 ,19538700
851,Film,WatchMojo Español,173693 ,42484200
852,Entertainment,MasDivertidoTV,81204 ,1512060
853,Music,PitbullVEVO,-25529 ,40717800
854,Comedy,ashish chanchlani vines,666567 ,57888600
855,Film,CinemaSins,23763 ,27084960
856,,Shining Videos,0 ,47580600
857,Entertainment,Amelka Karamelka,81300 ,47872200
858,Entertainment,TOYSBR Parque dos Brinquedos Surpresa Brasil,109146 ,36216000
859,People,Whatsapp Videos,0 ,17864520
860,,أسميتها فريحة - Asmeituha Fariha,120577 ,55523700
861,Music,XXXTENTACION - Topic,-1529 ,29871060
862,People,Nathalya Mendes,89959 ,55502400
863,Music,Khatulistiwa Record,0 ,35972100
864,Music,TopNotch,25985 ,42417300
865,Entertainment,SOUND Effects Public Domain,98 ,18932880
866,Music,ShowBusiness,55887 ,40151100
867,,LAC TV,148402 ,22955100
868,News,ANTV - Truyền hình Công an Nhân dân,78929 ,46190700
869,Film,Chim Xinh Channel,145803 ,45098700
870,People,FAM JAM,122822 ,36808500
871,,Kaycee & Rachel,139524 ,41121000
872,Music,BIHARIWOOD - बिहारीवुड,116502 ,34257600
873,Entertainment,Lewane TV,356379 ,20912790
874,,Ksysha Kids TV,0 ,32197500
875,Travel,Mark Wiens,313897 ,41803500
876,Entertainment,So Effin Cray,163724 ,31909200
877,Games,Clash Royale,267731  ,23004570
878,Entertainment,AIS,14054 ,57843900
879,,Min Min TV Minh Khoa,66582 ,28736310
880,,سوبر سمعة,96675 ,37074000
881,,toptenfamous,80875 ,34755600
882,,ABC KIDS TV,0 ,37737300
883,,Backhoe Toy 빽호토이,105395 ,39149400
884,News,關鍵時刻,64778 ,46318500
885,Film,Prens Yankı,52010 ,40247700
886,,Bridgestone India,3095 ,18656520
887,Education,My Superhero Rhymes,121600 ,27748500
888,Music,NFVEVO,-12521 ,37109400
889,,Panda - Pubg Mobile,197949 ,28518390
890,,3T Nerf War,0 ,37248900
891,People,Dimas Gepenk,524069 ,35734800
892,Music,MattyBRaps,81737 ,42329700
893,,AP24x7,59672 ,27795900
894,Entertainment,Khandesh Fun,130161 ,46681500
895,,Wow Cartoons,91630 ,36790800
896,People,My little Nastya,103973 ,41177400
897,Games,Demaster,233952 ,41906400
898,,Follow Me,105269 ,36900000
899,,Heroine Movies 2018,126012 ,38706600
900,,The Studio Space,97429 ,48428400
901,,Garena Liên Quân Mobile,146651 ,46247400
902,Film,Песни Для Детей .tv,74783 ,33582300
903,Music,G Series (Music),182624 ,40913700
904,,Cennet Kuşlarım TV,150577 ,38944800
905,,Maşa İle Koca Ayı,146266 ,38225400
906,Entertainment,Nickelodeon India,84511 ,37025700
907,Entertainment,Primitive My village,84711 ,24470880
908,Film,Filmistaan,128647 ,44013600 
909,People,Vj Jk,-163 ,18305490
910,Music,FrenchMontanaVEVO,-8510 ,42883500
911,Entertainment,SuperLuigiLogan,135415  ,46415700
912,,YOYO DODI,74156 ,36525900
913,Music,7 Minutoz,160520 ,34522500
914,,ماشا و الدب,119068 ,35488500
915,Games,theRadBrad,107908 ,0
916,Entertainment,TVCHOSUN,25086 ,35237100
917,People,LOVE GAME,0 ,32909700
918,Games,兄者弟者,24460 ,41097000
919,News,Oneindia Hindi | वनइंडिया…,140825 ,35812200
920,Entertainment,Canal 13,417171 ,149688000
921,News,TVBS NEWS,60900 ,65255400
922,,Ayşe Yıldızın Dünyası,62690 ,37565400
923,,Fakta Populer,261847 ,30827100
924,Entertainment,"Fran, Bel e Nina Kids",126021 ,36411000
925,Education,BestTop PS4 Game Alltime,0 ,-967470
926,Education,Toy Factory,112960 ,36135000
927,Games,SpJockey,42847 ,41436600
928,Entertainment,ToysYJuguetesTV,139132 ,39570600
929,Howto,Bon Appétit,215402 ,37650900
930,Entertainment,Earth,275598 ,40907100
931,Entertainment,Super Kids,120161 ,-9121110
932,People,Alex Boyko,171847 ,46498800
933,Entertainment,Movistar Chile,2969 ,11652510
934,,Homemade Upachar,0 ,26086350
935,,Kids Toy tv,-1753  ,16979760
936,Film,AnimaCars,380 ,-4702110
937,Music,飄然出塵,-37 ,17957520
938,,Royal Rajasthan,11645  ,19733340
939,Comedy,東海オンエアの控え室,54591 ,39668400
940,Entertainment,Matt Stonie,200990 ,34862400
941,Film,CanalKids - Tatá e Henrique,204189 ,35083200
942,Entertainment,SVF,78720 ,37270200
943,Music,justintimberlakeVEVO,-19341 ,38473800
944,People,Viih Tube,686468 ,39863700
945,Entertainment,RK Duggal Studios,123607 ,37010700
946,Nonprofit,Jubilee,247695 ,45297600
947,People,Knowledge Tv हिन्दी,2094833 ,60841200
948,Music,lesliegraceVEVO,-2300 ,42240300
949,People,J House Vlogs,22978 ,40702800
950,Howto,We support you,112004 ,46904700
951,,NRS RAJASTHANI MUSIC,132900 ,52956300
952,Film,Natkhat TV Hindi Tales & Rhymes for Kids.,113331 ,40790400
953,Music,DreadMarIVEVO,-2253 ,39702900
954,,Freememeskids,226261 ,36465600
955,Entertainment,Deddy Corbuzier,434596  ,41006700
956,Entertainment,MBC THE VOICE KIDS,57063 ,36816600
957,People,An Ninh Thế Giới,99013 ,41626500
958,Entertainment,SBS Entertainment,55851 ,38583000
959,,Tom and Jerry توم و جيري حلقات…,0 ,30837000
960,Entertainment,TV-People,39047 ,34559700
961,Games,Скорти,137194 ,36262200
962,Entertainment,Alhayah Series TV,75385 ,31363200
963,Games,TBNRFrags,134970 ,30697200
964,Music,KaneBrownVEVO,-6255 ,40931400
965,,Tin Siêu Còi,57964 ,45555000
966,Tech,Indeed,0 ,931170
967,Entertainment,Coisa de Nerd,97790 ,35073000
968,,MM Playlist,72819 ,33517800
969,Comedy,CILIO,487027 ,45757800
970,Games,GamerGirl,80590 ,41820000
971,Entertainment,Nickelodeon UK,66845 ,36445200
972,Tech,Waze,31703 ,32525700
973,Entertainment,Telly Tweets,62470 ,21620070
974,,KARAMBIR FOUJI LIVE,113839 ,40042500
975,,Pinky and Panda Toys TV,80811 ,40672200
976,Education,Cielo,2568 ,25899420
977,,HooplaKidz Italiano,283070 ,45289200
978,People,Damas Gratis Oficial,83921 ,36452400
979,,Talkshow tvOne,88762 ,21627480
980,Entertainment,フェルミ研究所,157238 ,46443900
981,,Coloring And Puzzles With Tia,13132 ,-214173300
982,Entertainment,Joey Ryan,92148 ,36410700
983,Film,Kiralık Aşk,18979 ,33438600
984,News,HINDI LIONS,0 ,30260400
985,Sports,MAXIMUM MMA,42748 ,12565560
986,Games,ポッキー / PockySweets,46843 ,39384000
987,Film,优优独播剧场——YoYo Television…,70185 ,21502500
988,,IR GAMES,136794 ,38870400
989,Music,Macklemore LLC,61107 ,35857500
990,Music,TheBeatlesVEVO,-4792 ,37726200
991,Film,ONE Media,63670 ,34421400
992,Music,AlejandroSanzVEVO, -2600 ,29147730
993,Entertainment,NTN Vlogs,202685 ,39872700
994,Comedy,CJ SO COOL,105187 ,42586800
995,People,Majid Hussain Tv,98483 ,22615650
996,Education,Acne Treatment,0 ,35136900
997,Film,Unutulmayan Diziler,34387 ,35047500
998,News,The Young Turks,-16179 ,36461400
999,Entertainment,Children's Colors,99510 ,27372780
1000,Games,Garena RoV Thailand,95432 ,34361100
1001,Howto,Wengie, 227755 ,40603200
1002,Entertainment,Totally TV,71732  ,39720300
1003,Entertainment,Stuberi,21673 ,15510720
1004,Music,Lucas Lucco,102483 ,42664200
1005,,Aya Nakamura - Topic,497 ,37196400
1006,News,GQ,94374 ,38084700
1007,People,Daniel Gro,188771 ,59055600
1008,,DC Kids Latino,80005 ,36519000
1009,Music,DSA RECORD,63402 , 35391600
1010,,nOone Channel,145183 ,25515240
1011,,Brincando com o Rafael,139274 ,30113100
1012,,SYMPA,217169 ,0
1013,Music,Simon Christensen,42951 ,33791400
1014,Entertainment,MovieTrailers Entertainment,38434 ,19802190
1015,Education,Melliart,0 ,-14412390
1016,Games,LispyLeaf,165712 ,14365530
1017,,Business Dubai,4140 ,27880680
1018,,Shin bút chì Fan VN Club,11224 ,26155890
1019,Entertainment,TheThings,93660 ,27926250
1020,Music,Alee mtz ceja,26828 ,28783860
1021,Howto,HowToBasic,120440 ,22500450
1022,Entertainment,People Are Awesome,80587 ,26889180
1023,Music,BB MUSIC,161618 ,33195600
1024,People,Fabelle Exquisite Chocolates,1593 ,12724244
1025,Music,unknown boy varun,192589 ,40079400
1026,Howto,제이제이 튜브 [JJ Tube],36080 ,26289780
1027,Tech,WowShow,117452 ,32322300
1028,Music,GaitherVEVO,28280 ,27261090
1029,Music,Hichem Smati,75485 ,29551320
1030,Music,Step Records,31055 ,27940980
1031,Film,THVL Phim,41037 ,34564500
1032,News,BBC News Hindi,222747 ,23915280
1033,Comedy,Ali Athab,342348 ,23817900
1034,Film,Bollymania,0 ,20964720
1035,Film,• Gerand •,54664 ,21865740
1036,Games,KRK Studio,0 ,23245170
1037,News,DesiFeed Video,66581 ,25813920
1038,Music,LilWayneVEVO,-11287 ,27966540
1039,People,Oum Walid,151463 ,27550080
1040,People,Duracell,3664 ,15703050
1041,,Wrestling Zone,94290 ,34505700
1042,Music,Doğan Music Company,27779 ,31614600
1043,Entertainment,TrendingPranks,59667 ,28834830
1044,,Boong Candy - Nursery Rhymes,0 ,11952090
1045,Music,Juice WRLD,119480 ,24145530
1046,Entertainment,BollywoodHungama.com,142094 ,22368660
1047,Film,Cuentos y Canciones Infantiles,96406 ,27672120
1048,Entertainment,Yes Theory,216346 ,24505680
1049,Film,RAJAWALI TELEVISI - LANGIT RTV,63046 ,26345010
1050,Music,Cem Adrian,60055 ,29408580
1051,Entertainment,My Mate Nate,199564 ,19830000
1052,,Kids Media,115172 ,27310468
1053,News,TV5 News,83320 ,34055700
1054,Music,Rels B // Flakk Daniel,71806 ,27403680
1055,Film,Kinder Surprise Eggs Rustama,122098 ,33291300
1056,Music,BrunoEMarroneVEVO,-1923 ,27230130
1057,Film,Big Animation,75768 ,26517090
1058,Music,NellyVEVO,47521 ,26806230
1059,News,First India News Rajasthan,121743 ,24253110
1060,Autos,AcademeG,85076 ,22357320
1061,Music,EduardoCostaVEVO,-3122 ,27403290
1062,Entertainment,BreakMan,206333 ,30836400
1063,,SK하이닉스,32054 ,16802220
1064,News,MobileNews 24,62456 ,21061950
1065,,LYRICS / LETRA,78308 ,29568180
1066,Entertainment,Crazy Mr.Hacker,90439 ,22471950
1067,Games,まいぜんシスターズ,56836 ,9706830
1068,Entertainment,AGUGAI,43874 ,25166940
1069,,Mini Anima,87506 ,25278660
1070,Music,Peter PlutaX,55248 ,26585100
1071,Entertainment,Fortnite Compilation,0 ,23554620
1072,Entertainment,Dancing With The Stars,57700 ,27866100
1073,Comedy,Rodrigo F Gamer Respeita,595700 ,23198700
1074,,Hoạt Hình Cartoon,0 ,24886290
1075,People,FastGo Vietnam,-2828 ,23873670
1076,Entertainment,Luan Palomera,301569 ,9679110
1077,Entertainment,India Forums,96107 ,25105980
1078,Comedy,Weekend Fail,35766 ,14637180
1079,,Casi Bebes,88454 ,27135120
1080,News,National Dastak,105943  ,24256830
1081,Music,Honiro,25718 ,29175630
1082,,Kids Entertainment,58984 ,19736605
1083,,माशा एंड द बेयर,109338 ,30187800
1084,Sports,IMPACT Wrestling,65392 ,28162830
1085,Music,ICH FIND SCHLAGER TOLL!,18371 ,26638440
1086,,Peppa Pig Oink Oink,46753 ,21542310
1087,,مغامرات عائلة محمد,106508 ,24727680
1088,People,ساري جاد GAD TV,222070 ,31120500
1089,,Jiya's vlog,55589 ,-304980
1090,Music,Tohaar Bhojpuri - तोहार…,108466 ,10728480
1091,Games,PlayAndroidGames,47940 ,17717790
1092,Entertainment,공대생 변승주,50528 ,24944460
1093,People,TheMoshayaFamily,80269 ,21491460
1094,Games,Furious Jumper,43853 ,29217270
1095,Howto,TsMadaan,211314 ,26521380
1096,Film,Thai Fairy Tales,110626 ,27083670
1097,,Black Eyes,979 ,-4265072
1098,Sports,Unlimited TV,105558 ,42298200
1099,Games,xxYjYxx,115192 ,22923300
1100,Entertainment,iPantellas,58624 ,29175720
1101,,Animals SIPI,93086 ,20695234
1102,Music,Yeison Jimenez,41880 ,25233780
1103,People,PowPow Channel,64664 ,22643610
1104,People,Tarang Cine Productions,76736 ,28233600
1105,,GreeicyVEVO,-4678 ,30225600
1106,Education,FUNTASTIC TV - Kids Songs and Nursery Rhymes,32914 ,22109640 
1107,Games,Twitch Moments,68131 ,21890940
1108,,Rabbids Invasion, 58002 ,24234780
1109,Entertainment,Viral Track,121716 ,25151190
1110,Games,Angry Birds,30345 ,25114230
1111,Entertainment,Princess Granny's World,40984 ,20998740
1112,Education,Pueblo Teehee - Canciones Infantiles,61332 ,18313080
1113,Entertainment,Awesome Animals, 78430 ,18863310
1114,,Pica-Pau em Português,131002 ,25778340
1115,Music,AbbaVEVO,-2739 ,26933370
1116,Howto,5-MINUTEN TRICKS,108867 ,21347490
1117,Autos,Toyota Motor Thailand,4177 ,24485550
1118,Education,Baby Fun Learning,95396 ,23447460
1119,,Shivani Ka Thumka,56226 ,24992190
1120,,Kh Wilderness,50555 ,16727400
1121,Education,Edu car toy school,69474 ,29171460
1122,Film,きょんくま,45389 ,26993550
1123,Entertainment,Х-Фактор,43312 ,29224590
1124,Tech,Huawei Mobile Colombia,14081 ,34836600
1125,,Jess No Limit,227601 ,26142480
1126,People,玩乐三分钟,48834 ,24564780
1127,Entertainment,Creative Traps,86956 ,25946340
1128,Music,Best Moments EVER,66067 ,27048960
1129,Music,ภูไทเร็คคอร์ด,61381 ,28217670
1130,Games,St3pNy,37394 ,26020620
1131,Entertainment,PTC PUNJABI,86497 ,25732020
1132,,MasterChef Thailand,83204 ,20684190
1133,Music,Chetak Haryanvi,85440 ,25642200
1134,,Thơ Nguyễn,51138 , 27365340
1135,Games,ErasedXoldo,17274 ,22801860
1136,Games,MM7Games,67281 ,20500800
1137,Entertainment,Filmy Sins,193496 ,17617230
1138,Entertainment,Ellie Sparkles,38375 ,22524270
1139,Sports,Entel Perú,2600 ,14560110
1140,,Lil Baby Official 4PF,264074 ,28422930
1141,Film,Monica Toy Official,54901 ,22995150
1142,Entertainment,Chills,166146 ,25728870 
1143,Comedy,CanalCanalha,152152 ,17939970
1144,Entertainment,Mediaset España,34476 ,-20543010
1145,Comedy,Brian Sobrevilla,199076 ,23594910
1146,Comedy,America's Funniest Home Videos,52008 , 25608330
1147,Music,Epitaph Records,20653 ,25452840
1148,Film,Disney Junior FR,38903 ,23735880
1149,People,Mo Vlogs,98169 ,29755260
1150,,Daily Culture,234130 ,117355653
1151,Music,KendjiGiracVEVO,-4346 ,27481110
1152,Entertainment,Robin Schulz,28471 ,26423790
